Ai_bots_worldwide timestamps,Ai_bots_worldwide values
2026-03-01T00:00:00Z,0.793528
2026-03-02T00:00:00Z,0.807171
2026-03-03T00:00:00Z,0.877863
2026-03-04T00:00:00Z,0.881903
2026-03-05T00:00:00Z,0.850524
2026-03-06T00:00:00Z,0.807347
2026-03-07T00:00:00Z,0.854953
2026-03-08T00:00:00Z,0.7942
2026-03-09T00:00:00Z,0.809281
2026-03-10T00:00:00Z,0.803935
2026-03-11T00:00:00Z,0.847943
2026-03-12T00:00:00Z,0.933319
2026-03-13T00:00:00Z,0.91895
2026-03-14T00:00:00Z,0.861502
2026-03-15T00:00:00Z,0.921707
2026-03-16T00:00:00Z,0.919034
2026-03-17T00:00:00Z,0.910742
2026-03-18T00:00:00Z,0.921504
2026-03-19T00:00:00Z,0.928118
2026-03-20T00:00:00Z,0.927042
2026-03-21T00:00:00Z,0.938361
2026-03-22T00:00:00Z,0.936411
2026-03-23T00:00:00Z,0.93891
2026-03-24T00:00:00Z,0.938139
2026-03-25T00:00:00Z,0.960232
2026-03-26T00:00:00Z,0.967016
2026-03-27T00:00:00Z,0.867425
2026-03-28T00:00:00Z,0.908107
2026-03-29T00:00:00Z,0.876962
2026-03-30T00:00:00Z,0.917766
2026-03-31T00:00:00Z,1.0
2026-04-01T00:00:00Z,0.962578
2026-04-02T00:00:00Z,0.954891
2026-04-03T00:00:00Z,0.895776
2026-04-04T00:00:00Z,0.91171
2026-04-05T00:00:00Z,0.918719
2026-04-06T00:00:00Z,0.856886
2026-04-07T00:00:00Z,0.878166
2026-04-08T00:00:00Z,0.898408
2026-04-09T00:00:00Z,0.918337
2026-04-10T00:00:00Z,0.826629
2026-04-11T00:00:00Z,0.884737
2026-04-12T00:00:00Z,0.862407
2026-04-13T00:00:00Z,0.895432
2026-04-14T00:00:00Z,0.765357
2026-04-15T00:00:00Z,0.917623
2026-04-16T00:00:00Z,1.0
2026-04-17T00:00:00Z,0.934706
2026-04-18T00:00:00Z,0.941754
2026-04-19T00:00:00Z,0.947262
2026-04-20T00:00:00Z,0.932986
2026-04-21T00:00:00Z,0.896954
2026-04-22T00:00:00Z,0.918883
2026-04-23T00:00:00Z,0.910198
2026-04-24T00:00:00Z,0.907067
2026-04-25T00:00:00Z,0.93482
2026-04-26T00:00:00Z,0.870706
2026-04-27T00:00:00Z,0.875062
2026-04-28T00:00:00Z,0.911018
2026-04-29T00:00:00Z,0.898406
2026-04-30T00:00:00Z,0.912549
2026-05-01T00:00:00Z,0.883252
2026-05-02T00:00:00Z,0.847244
2026-05-03T00:00:00Z,0.833953
2026-05-04T00:00:00Z,0.831428
2026-05-05T00:00:00Z,0.849523
2026-05-06T00:00:00Z,0.836724
2026-05-07T00:00:00Z,0.907239
2026-05-08T00:00:00Z,1.0
2026-05-09T00:00:00Z,0.989148
2026-05-10T00:00:00Z,0.976143
2026-05-11T00:00:00Z,0.93878
2026-05-12T00:00:00Z,0.950571
2026-05-13T00:00:00Z,0.954693
2026-05-14T00:00:00Z,0.970184
2026-05-15T00:00:00Z,0.92464
2026-05-16T00:00:00Z,0.951312
2026-05-17T00:00:00Z,0.958884
2026-05-18T00:00:00Z,0.921902
2026-05-19T00:00:00Z,0.897004
2026-05-20T00:00:00Z,0.911926
2026-05-21T00:00:00Z,0.925292
2026-05-22T00:00:00Z,0.912899
2026-05-23T00:00:00Z,0.89781
2026-05-24T00:00:00Z,0.874039
2026-05-25T00:00:00Z,0.891337
2026-05-26T00:00:00Z,0.913171
2026-05-27T00:00:00Z,0.913269
2026-05-28T00:00:00Z,0.913453
2026-05-29T00:00:00Z,0.827124
2026-05-30T00:00:00Z,0.902024
2026-05-31T00:00:00Z,0.858632
2026-06-01T00:00:00Z,0.827506
2026-06-02T00:00:00Z,0.924103
2026-06-03T00:00:00Z,0.905623
2026-06-04T00:00:00Z,0.93829
2026-06-05T00:00:00Z,0.948054
2026-06-06T00:00:00Z,0.960632
2026-06-07T00:00:00Z,0.912879
2026-06-08T00:00:00Z,0.936545
2026-06-09T00:00:00Z,0.951933
2026-06-10T00:00:00Z,0.93851
2026-06-11T00:00:00Z,0.926298
2026-06-12T00:00:00Z,0.972446
2026-06-13T00:00:00Z,0.93323
2026-06-14T00:00:00Z,0.954464
2026-06-15T00:00:00Z,0.97382
2026-06-16T00:00:00Z,1.0
2026-06-17T00:00:00Z,0.963874
2026-06-18T00:00:00Z,0.972258
2026-06-19T00:00:00Z,0.948698
2026-06-20T00:00:00Z,0.97291
2026-06-21T00:00:00Z,0.940408
2026-06-22T00:00:00Z,0.969247
2026-06-23T00:00:00Z,0.92504
2026-06-24T00:00:00Z,0.933657
2026-06-25T00:00:00Z,0.943788
2026-06-26T00:00:00Z,0.918348
2026-06-27T00:00:00Z,0.923524
2026-06-28T00:00:00Z,0.889556
2026-06-29T00:00:00Z,0.879609
2026-06-30T00:00:00Z,0.911065
2026-07-01T00:00:00Z,0.848946
2026-07-02T00:00:00Z,0.881595
2026-07-03T00:00:00Z,0.886157
2026-07-04T00:00:00Z,0.847118
2026-07-05T00:00:00Z,0.81742
2026-07-06T00:00:00Z,0.833654
2026-07-07T00:00:00Z,0.838346
2026-07-08T00:00:00Z,0.86007
2026-07-09T00:00:00Z,0.872422
2026-07-10T00:00:00Z,0.796256
2026-07-11T00:00:00Z,0.843299
2026-07-12T00:00:00Z,0.839199
2026-07-13T00:00:00Z,0.848285
2026-07-14T00:00:00Z,0.891715
2026-07-15T00:00:00Z,0.874107
2026-07-16T00:00:00Z,0.858154
2026-07-17T00:00:00Z,0.836249
2026-07-18T00:00:00Z,0.866618
2026-07-19T00:00:00Z,0.839879
2026-07-20T00:00:00Z,0.828678
2026-07-21T00:00:00Z,0.873824
2026-07-22T00:00:00Z,0.82891
2026-07-23T00:00:00Z,0.879992
2026-07-24T00:00:00Z,0.832028
2026-07-25T00:00:00Z,0.839003
2026-07-26T00:00:00Z,0.864444
2026-07-27T00:00:00Z,0.821262
2026-07-28T00:00:00Z,0.821957
2026-07-29T00:00:00Z,0.886956
2026-07-30T00:00:00Z,1.0
2026-07-31T00:00:00Z,0.914447
2026-08-01T00:00:00Z,0.729684
2026-08-02T00:00:00Z,0.713904
2026-08-03T00:00:00Z,0.785905
2026-08-04T00:00:00Z,0.81163
2026-08-05T00:00:00Z,0.770855
2026-08-06T00:00:00Z,0.803015
2026-08-07T00:00:00Z,0.882293
2026-08-08T00:00:00Z,0.946848
2026-08-09T00:00:00Z,0.940891
2026-08-10T00:00:00Z,1.0
2026-08-11T00:00:00Z,0.949133
2026-08-12T00:00:00Z,0.93927
2026-08-13T00:00:00Z,0.892961
2026-08-14T00:00:00Z,0.868748
2026-08-15T00:00:00Z,0.830249
2026-08-16T00:00:00Z,0.807077
