Ai_bots_worldwide timestamps,Ai_bots_worldwide values
2026-02-23T00:00:00Z,0.648728
2026-03-02T00:00:00Z,0.647934
2026-03-09T00:00:00Z,0.672496
2026-03-16T00:00:00Z,0.714917
2026-03-23T00:00:00Z,0.712223
2026-03-30T00:00:00Z,0.768391
2026-04-06T00:00:00Z,0.734553
2026-04-13T00:00:00Z,0.767717
2026-04-20T00:00:00Z,0.764058
2026-04-27T00:00:00Z,0.7427
2026-05-04T00:00:00Z,0.775856
2026-05-11T00:00:00Z,0.807285
2026-05-18T00:00:00Z,0.769866
2026-05-25T00:00:00Z,0.755071
2026-06-01T00:00:00Z,0.821644
2026-06-08T00:00:00Z,0.846783
2026-06-15T00:00:00Z,0.867083
2026-06-22T00:00:00Z,0.832664
2026-06-29T00:00:00Z,0.815637
2026-07-06T00:00:00Z,0.805771
2026-07-13T00:00:00Z,0.823817
2026-07-20T00:00:00Z,0.814486
2026-07-27T00:00:00Z,0.838335
2026-08-03T00:00:00Z,0.944969
2026-08-10T00:00:00Z,1.0
2026-08-17T00:00:00Z,0.908219
2026-08-24T00:00:00Z,0.801332
